EntryTime,OrderTime,ExitTime,Direction,EntryPrice,ExitPrice,EntryReason,ExitReason,PnLAbs,PnLPct,Fees,Outcome
2025-11-08T12:59:59.999000-03:00,2025-11-08T11:59:59.999000-03:00,2025-11-09T14:59:59.999000-03:00,long,3396.0809648959953,3527.0888401106004,bollinger_signal,bollinger_signal,127.54629031210176,0.037556905041575724,3.4615849025032976,win
2025-11-09T15:59:59.999000-03:00,2025-11-09T14:59:59.999000-03:00,2025-11-10T09:59:59.999000-03:00,short,3527.0888401106004,3527.0888401106004,bollinger_signal,end_of_data,-3.5270888401106006,-0.001,3.5270888401106006,loss
