CloseTimeMs,Date,Open,High,Low,Close,Volume,Buy,Sell
1759410899999,2025-10-02 10:14:00,4396.84,4396.85,4394.65,4394.99,2630.43,0,0
1759411019999,2025-10-02 10:16:00,4393.0,4393.0,4387.09,4388.09,5541.08,0,0
1759411079999,2025-10-02 10:17:00,4388.09,4390.3,4387.09,4387.1,3415.17,0,0
1759411139999,2025-10-02 10:18:00,4386.85,4386.86,4377.0,4379.83,17899.23,0,0
1759411319999,2025-10-02 10:21:00,4390.54,4395.0,4390.54,4393.42,4819.18,1,0
1759411379999,2025-10-02 10:22:00,4393.41,4395.0,4393.38,4394.15,1501.35,0,0
1759411439999,2025-10-02 10:23:00,4393.84,4394.33,4392.13,4392.87,1490.97,0,0
1759411499999,2025-10-02 10:24:00,4393.21,4394.16,4389.66,4389.67,1474.21,0,0
1759412099999,2025-10-02 10:34:00,4396.64,4398.0,4390.4,4390.4,2671.42,0,0
1759412159999,2025-10-02 10:35:00,4390.4,4393.53,4387.05,4390.58,5939.2,0,0
1759412219999,2025-10-02 10:36:00,4390.2,4396.72,4390.09,4395.26,4213.96,0,0
1759412279999,2025-10-02 10:37:00,4396.13,4401.18,4395.25,4401.17,5820.97,0,0
1759412339999,2025-10-02 10:38:00,4401.83,4402.95,4392.84,4395.23,4815.67,0,0
1759412399999,2025-10-02 10:39:00,4395.61,4398.11,4389.2,4390.72,2403.29,0,1
1759412459999,2025-10-02 10:40:00,4391.04,4393.31,4386.1,4390.32,3957.09,0,0
1759412519999,2025-10-02 10:41:00,4389.37,4394.65,4387.32,4390.85,1716.94,0,0
1759412579999,2025-10-02 10:42:00,4390.07,4393.76,4387.31,4388.91,2733.53,0,0
1759412639999,2025-10-02 10:43:00,4389.24,4390.21,4384.31,4390.21,3319.82,0,0
1759412699999,2025-10-02 10:44:00,4390.17,4395.53,4388.56,4395.38,3098.06,0,0
1759412759999,2025-10-02 10:45:00,4395.99,4401.79,4394.39,4400.13,6939.15,0,0
1759412819999,2025-10-02 10:46:00,4400.27,4406.09,4398.32,4406.09,6965.52,0,0
1759412879999,2025-10-02 10:47:00,4405.71,4415.99,4403.12,4409.23,15215.3,0,0
1759412939999,2025-10-02 10:48:00,4409.56,4411.91,4405.44,4405.56,8327.57,1,0
1759412999999,2025-10-02 10:49:00,4407.39,4409.13,4396.14,4400.21,6675.37,0,0
1759413059999,2025-10-02 10:50:00,4401.43,4401.43,4396.93,4400.4,2996.26,0,0
1759413119999,2025-10-02 10:51:00,4401.66,4410.48,4401.66,4409.55,5635.73,0,0
1759413179999,2025-10-02 10:52:00,4409.88,4414.74,4407.46,4407.46,7431.52,0,0
1759413239999,2025-10-02 10:53:00,4408.51,4414.6,4406.95,4412.51,3603.97,0,0
1759413299999,2025-10-02 10:54:00,4412.99,4416.72,4412.88,4415.65,6869.17,0,0
1759413359999,2025-10-02 10:55:00,4415.28,4416.36,4413.78,4414.35,3805.0,0,0
1759413419999,2025-10-02 10:56:00,4413.7,4414.31,4406.96,4409.45,5292.52,0,1
1759413479999,2025-10-02 10:57:00,4410.56,4413.57,4410.04,4413.01,2016.26,0,0
1759413539999,2025-10-02 10:58:00,4413.01,4414.65,4409.89,4411.1,3583.69,0,0
1759413599999,2025-10-02 10:59:00,4410.47,4415.0,4408.4,4414.35,2419.82,0,0
1759413659999,2025-10-02 11:00:00,4414.97,4418.36,4412.84,4414.83,7483.4,0,0
1759413719999,2025-10-02 11:01:00,4414.83,4416.91,4407.49,4410.57,5308.4,0,0
1759413779999,2025-10-02 11:02:00,4411.33,4413.16,4407.58,4409.24,4226.66,0,1
1759413839999,2025-10-02 11:03:00,4409.18,4415.25,4409.18,4414.67,3466.58,0,0
1759413899999,2025-10-02 11:04:00,4414.37,4416.07,4411.4,4415.1,2304.74,0,0
1759413959999,2025-10-02 11:05:00,4415.1,4418.88,4413.97,4414.85,4930.84,0,0
1759414019999,2025-10-02 11:06:00,4414.61,4417.34,4408.08,4410.32,4665.39,0,0
1759414079999,2025-10-02 11:07:00,4410.39,4412.84,4410.14,4410.14,1487.08,0,1
1759414139999,2025-10-02 11:08:00,4409.49,4409.49,4402.69,4405.73,5491.16,0,0
1759414199999,2025-10-02 11:09:00,4405.08,4406.81,4401.68,4401.88,3699.83,0,0
1759414259999,2025-10-02 11:10:00,4402.03,4406.21,4400.13,4402.79,3699.49,0,0
1759414919999,2025-10-02 11:21:00,4394.38,4399.56,4393.78,4396.34,2856.45,0,0
1759414979999,2025-10-02 11:22:00,4396.33,4398.34,4394.33,4397.69,1518.72,0,0
1759415039999,2025-10-02 11:23:00,4398.03,4409.55,4398.03,4409.22,3463.78,0,0
1759415099999,2025-10-02 11:24:00,4408.09,4410.0,4407.43,4409.99,2992.16,1,0
1759415159999,2025-10-02 11:25:00,4409.99,4412.0,4405.54,4408.3,3381.72,0,0
1759415219999,2025-10-02 11:26:00,4408.14,4414.6,4407.1,4413.01,5457.42,0,0
1759415279999,2025-10-02 11:27:00,4413.0,4416.71,4413.0,4414.51,6250.19,0,0
1759415339999,2025-10-02 11:28:00,4414.46,4417.78,4410.32,4411.03,4286.98,0,0
1759415399999,2025-10-02 11:29:00,4412.65,4414.9,4412.22,4413.77,1524.38,0,0
1759415459999,2025-10-02 11:30:00,4413.77,4417.41,4413.76,4415.64,2305.31,0,0
1759415519999,2025-10-02 11:31:00,4415.64,4416.94,4408.48,4408.66,3805.58,0,0
1759415579999,2025-10-02 11:32:00,4409.18,4411.15,4407.11,4407.93,2791.15,0,1
1759415639999,2025-10-02 11:33:00,4407.92,4407.93,4400.0,4400.01,5151.46,0,0
1759415699999,2025-10-02 11:34:00,4400.0,4405.28,4393.51,4403.83,8252.85,0,0
1759415759999,2025-10-02 11:35:00,4403.84,4404.71,4400.91,4401.13,2900.12,0,0
1759415819999,2025-10-02 11:36:00,4400.05,4404.6,4400.03,4400.04,2574.84,0,0
1759415879999,2025-10-02 11:37:00,4400.04,4403.16,4394.0,4403.03,8633.69,0,0
1759415939999,2025-10-02 11:38:00,4403.07,4403.56,4399.31,4403.01,1362.72,0,0
1759415999999,2025-10-02 11:39:00,4403.0,4404.43,4400.92,4403.37,1997.4,0,0
1759416059999,2025-10-02 11:40:00,4403.58,4403.58,4396.63,4396.95,2369.84,0,0
1759416119999,2025-10-02 11:41:00,4397.3,4398.89,4394.19,4395.6,3061.27,0,0
1759416179999,2025-10-02 11:42:00,4395.11,4396.66,4393.06,4394.97,4041.35,0,0
1759416239999,2025-10-02 11:43:00,4395.01,4395.66,4386.33,4390.85,12084.11,0,1
1759416299999,2025-10-02 11:44:00,4390.85,4390.85,4380.72,4384.28,11177.74,0,0
1759416359999,2025-10-02 11:45:00,4384.28,4390.0,4384.28,4389.23,6409.7,0,0
1759416419999,2025-10-02 11:46:00,4388.65,4389.4,4383.97,4384.86,4399.5,0,0
1759416479999,2025-10-02 11:47:00,4385.03,4386.49,4380.69,4380.9,4521.91,0,0
1759416539999,2025-10-02 11:48:00,4380.71,4384.07,4375.76,4383.53,14983.19,0,0
1759416599999,2025-10-02 11:49:00,4383.99,4389.27,4382.32,4386.9,5359.16,0,0
1759416659999,2025-10-02 11:50:00,4387.04,4387.24,4364.58,4369.68,23696.17,0,0
1759416719999,2025-10-02 11:51:00,4368.24,4376.01,4367.48,4375.32,13027.72,0,1
1759416779999,2025-10-02 11:52:00,4375.39,4378.0,4371.23,4375.56,10110.2,0,0
1759416839999,2025-10-02 11:53:00,4375.96,4386.59,4375.76,4385.04,12946.35,0,0
1759416899999,2025-10-02 11:54:00,4385.04,4385.05,4375.68,4376.56,3489.26,0,0
1759416959999,2025-10-02 11:55:00,4377.16,4379.1,4375.66,4377.23,3002.84,0,0
1759417019999,2025-10-02 11:56:00,4377.66,4377.77,4368.77,4373.04,8006.45,0,0
1759417079999,2025-10-02 11:57:00,4373.25,4377.16,4369.42,4377.0,4618.13,0,0
1759417139999,2025-10-02 11:58:00,4376.99,4377.87,4374.48,4375.7,4417.83,0,0
1759417199999,2025-10-02 11:59:00,4376.56,4376.57,4372.01,4372.17,3794.68,0,0
1759417259999,2025-10-02 12:00:00,4372.54,4372.68,4365.63,4369.47,6925.47,0,0
1759417319999,2025-10-02 12:01:00,4371.37,4371.53,4363.59,4365.74,7513.37,0,0
1759417379999,2025-10-02 12:02:00,4367.07,4368.43,4362.16,4364.16,7818.96,0,0
1759417439999,2025-10-02 12:03:00,4363.27,4364.98,4353.34,4358.03,21267.31,0,0
1759417499999,2025-10-02 12:04:00,4358.74,4358.75,4332.23,4344.07,74120.6,0,0
1759417559999,2025-10-02 12:05:00,4344.18,4347.91,4339.22,4345.45,15289.64,0,1
1759417619999,2025-10-02 12:06:00,4347.12,4354.72,4347.11,4353.28,10835.49,0,0
1759417679999,2025-10-02 12:07:00,4353.62,4362.0,4353.61,4361.33,14079.1,0,0
1759417739999,2025-10-02 12:08:00,4361.03,4363.98,4357.21,4363.98,9617.41,0,0
1759417799999,2025-10-02 12:09:00,4364.44,4370.83,4361.72,4370.82,8750.8,1,0
1759417859999,2025-10-02 12:10:00,4371.72,4385.71,4371.28,4382.2,30235.89,0,0
1759417919999,2025-10-02 12:11:00,4382.2,4387.79,4380.17,4383.05,9746.48,0,0
1759417979999,2025-10-02 12:12:00,4383.05,4385.0,4380.36,4380.37,4660.22,0,0
1759418999999,2025-10-02 12:00:00,4372.54,4417.96,4332.23,4405.44,360412.13,0,0
1759420799999,2025-10-02 12:30:00,4405.82,4441.67,4390.44,4435.87,204544.99,1,0
1759422599999,2025-10-02 13:00:00,4435.5,4469.0,4428.67,4439.15,292446.24,0,0
1759435199999,2025-10-02 16:30:00,4496.99,4509.39,4486.14,4493.06,71585.78,0,0
1759436999999,2025-10-02 17:00:00,4493.07,4495.36,4478.33,4480.03,52846.31,0,0
1759438799999,2025-10-02 17:30:00,4480.49,4489.0,4465.71,4488.99,59356.89,0,0
1759440599999,2025-10-02 18:00:00,4489.0,4494.76,4474.4,4477.78,41070.3,0,0
1759442399999,2025-10-02 18:30:00,4477.68,4480.38,4465.62,4465.62,26926.21,0,0
1759444199999,2025-10-02 19:00:00,4466.66,4483.13,4457.2,4465.45,69914.99,0,0
1759445999999,2025-10-02 19:30:00,4465.55,4469.03,4453.46,4462.0,57878.04,0,0
1759447799999,2025-10-02 20:00:00,4461.85,4475.23,4460.52,4463.99,38336.43,1,0
1759449599999,2025-10-02 20:30:00,4463.99,4485.31,4462.08,4481.71,43264.61,0,0
1759451399999,2025-10-02 21:00:00,4481.7,4481.71,4463.2,4472.62,38930.66,0,0
1759453199999,2025-10-02 21:30:00,4472.63,4475.84,4465.56,4466.48,24315.35,0,0
1759454999999,2025-10-02 22:00:00,4466.49,4477.9,4459.01,4466.76,70235.43,0,0
1759456799999,2025-10-02 22:30:00,4466.6,4476.21,4464.32,4469.64,32349.77,0,0
1759458599999,2025-10-02 23:00:00,4469.64,4496.56,4469.08,4481.5,66914.58,0,0
1759460399999,2025-10-02 23:30:00,4481.51,4514.51,4479.07,4507.99,107535.49,0,0
1759462199999,2025-10-03 00:00:00,4508.0,4559.0,4504.31,4527.84,207379.84,0,0
1759463999999,2025-10-03 00:30:00,4527.84,4531.25,4487.53,4498.94,117359.28,0,1
1759465799999,2025-10-03 01:00:00,4498.97,4509.25,4494.43,4498.53,46257.44,0,1
1759467599999,2025-10-03 01:30:00,4498.52,4498.53,4475.0,4491.5,71485.19,0,0
1759469399999,2025-10-03 02:00:00,4494.88,4499.72,4475.81,4480.01,54852.16,0,0
1759471199999,2025-10-03 02:30:00,4479.32,4480.57,4464.28,4474.7,75909.99,0,0
1759472999999,2025-10-03 03:00:00,4474.69,4484.11,4469.0,4478.99,47249.38,0,0
1759474799999,2025-10-03 03:30:00,4479.56,4481.8,4456.13,4470.1,57694.39,0,0
1759476599999,2025-10-03 04:00:00,4470.1,4474.82,4451.46,4452.76,62990.92,0,0
1759478399999,2025-10-03 04:30:00,4452.79,4462.2,4452.5,4460.84,53729.83,0,0
1759480199999,2025-10-03 05:00:00,4460.84,4462.5,4426.0,4448.28,145936.6,0,0
1759481999999,2025-10-03 05:30:00,4448.28,4465.78,4446.5,4464.56,72916.86,0,0
1759483799999,2025-10-03 06:00:00,4464.56,4479.84,4454.0,4473.44,88040.93,1,0
1759485599999,2025-10-03 06:30:00,4473.44,4478.09,4465.66,4471.76,34827.22,1,0
1759487399999,2025-10-03 07:00:00,4471.75,4483.3,4465.56,4480.67,42015.61,0,0
1759489199999,2025-10-03 07:30:00,4480.66,4493.08,4478.1,4487.34,48450.32,0,0
1759490999999,2025-10-03 08:00:00,4487.34,4488.0,4463.5,4477.31,65736.5,0,0
1759492799999,2025-10-03 08:30:00,4477.69,4485.6,4471.32,4476.2,32951.32,0,0
1759494599999,2025-10-03 09:00:00,4476.2,4483.12,4471.47,4472.06,31166.22,0,0
1759496399999,2025-10-03 09:30:00,4471.86,4490.45,4470.84,4480.58,45062.52,0,0
1759498199999,2025-10-03 10:00:00,4480.58,4492.25,4446.18,4489.52,110156.65,0,0
