EntryTime,Direction,ReferencePrice,Fees,PnLPct,PnLAbs,Source
2025-10-24T09:59:59.999000-03:00,short,3984.1720675582937,4.093736799416147,-0.0560275,-223.2232005151223,live
2025-10-28T20:59:59.999000-03:00,long,3985.479944210442,3.875879245744655,-0.05597250000000002,-223.07727617731908,live
2025-11-01T12:59:59.999000-03:00,short,3882.197580927096,3.7927516732535858,0.04510307886801393,175.09906367376772,live
2025-11-03T05:59:59.999000-03:00,long,3703.305765580075,3.6014648570266226,-0.055972500000000085,-207.28328196393105,live
2025-11-05T15:59:59.999000-03:00,short,3434.585918058641,3.3916690412656028,0.024003500425288742,82.44208454481131,live
2025-11-06T11:59:59.999000-03:00,long,3348.752164472564,3.414736175715474,0.03838841454854341,128.5532863101048,live
2025-11-08T01:59:59.999000-03:00,short,3480.720186958384,3.4384005759270697,0.023328741503251905,81.2008214867028,live
2025-11-08T12:59:59.999000-03:00,long,3396.0809648957543,3.4615849025032275,0.037556905041679106,127.5462903124438,live
2025-11-09T15:59:59.999000-03:00,short,3527.0888401107013,3.526527908867908,-0.0006817705854001295,-2.4046654232805365,live
2025-11-11T10:59:59.999000-03:00,long,3525.966977625114,3.5453017150182196,0.009961571760053895,35.12417307119292,live
2025-11-13T04:59:59.999000-03:00,short,3564.636452411325,3.3953162209217873,0.09404749999999999,335.2451467581541,live
2025-11-14T01:59:59.999000-03:00,long,3142.078917836778,3.1804600694088543,0.02341820336116865,73.5818430747424,live
2025-11-16T04:59:59.999000-03:00,short,3218.8412209809294,3.1469633405224005,0.043683048626326985,140.60879757653566,live
2025-11-16T15:59:59.999000-03:00,long,3075.0854600638713,3.1204341664952273,0.02847952677529744,87.57697869621687,live
2025-11-06T11:59:59.999000-03:00,long,3348.752164472728,3.4147361757155146,0.038388414548467635,128.55328630985736,live
2025-11-08T01:59:59.999000-03:00,short,3480.720186958301,3.4384005759271568,0.023328741503154324,81.20082148636119,live
2025-11-08T12:59:59.999000-03:00,long,3396.0809648960126,3.461584902503304,0.037556905041569104,127.54629031207993,live
2025-11-09T15:59:59.999000-03:00,short,3527.088840110596,3.5265279088679207,-0.000681770585467326,-2.4046654235174727,live
2025-11-11T10:59:59.999000-03:00,long,3525.9669776252454,3.545301715018235,0.009961571759987745,35.124173070960985,live
2025-11-13T04:59:59.999000-03:00,short,3564.6364524112246,3.395316220921692,0.0940475,335.24514675814464,live
2025-11-14T01:59:59.999000-03:00,long,3142.0789178368186,3.1804600694087526,0.023418203361078214,73.58184307445919,live
2025-11-16T04:59:59.999000-03:00,short,3218.8412209806866,3.1469633405223387,0.04368304862621798,140.6087975761742,live
2025-11-16T15:59:59.999000-03:00,long,3075.08546006399,3.1204341664952326,0.028479526775222547,87.57697869598995,live
2025-11-06T11:59:59.999000-03:00,long,3348.752164472728,3.4147361757155146,0.038388414548467635,128.55328630985736,live
2025-11-08T01:59:59.999000-03:00,short,3480.720186958301,3.4384005759271568,0.023328741503154324,81.20082148636119,live
2025-11-08T12:59:59.999000-03:00,long,3396.0809648960126,3.461584902503304,0.037556905041569104,127.54629031207993,live
2025-11-09T15:59:59.999000-03:00,short,3527.088840110596,3.5265279088679207,-0.000681770585467326,-2.4046654235174727,live
2025-11-11T10:59:59.999000-03:00,long,3525.9669776252454,3.545301715018235,0.009961571759987745,35.124173070960985,live
2025-11-13T04:59:59.999000-03:00,short,3564.6364524112246,3.395316220921692,0.0940475,335.24514675814464,live
2025-11-14T01:59:59.999000-03:00,long,3142.0789178368186,3.1804600694087526,0.023418203361078214,73.58184307445919,live
2025-11-16T04:59:59.999000-03:00,short,3218.8412209806866,3.1469633405223387,0.04368304862621798,140.6087975761742,live
2025-11-16T15:59:59.999000-03:00,long,3075.08546006399,3.1204341664952326,0.028479526775222547,87.57697869598995,live
2025-11-06T11:59:59.999000-03:00,long,3348.752164472728,3.3152646428280006,-0.020990000000000068,-70.29030793228279,live
2025-11-08T01:59:59.999000-03:00,short,3480.720186958301,3.4384005759271568,0.023328741503154324,81.20082148636119,live
2025-11-08T12:59:59.999000-03:00,long,3396.0809648960126,3.461584902503304,0.037556905041569104,127.54629031207993,live
2025-11-09T15:59:59.999000-03:00,short,3527.088840110596,3.5623597285117024,-0.021010000000000053,-74.1041365307238,live
2025-11-11T10:59:59.999000-03:00,long,3525.9669776252454,3.490707307848993,-0.020989999999999967,-74.01004686035378,live
2025-11-13T04:59:59.999000-03:00,short,3564.6364524112246,3.439874176576832,0.06903500000000007,246.08467749220915,live
2025-11-14T01:59:59.999000-03:00,long,3142.0789178368186,3.1106581286584505,-0.02099000000000007,-65.95223648539505,live
2025-11-16T04:59:59.999000-03:00,short,3218.8412209806866,3.1469633405223387,0.04368304862621798,140.6087975761742,live
2025-11-16T15:59:59.999000-03:00,long,3075.08546006399,3.04433460546335,-0.020990000000000043,-64.54604380674328,live
2025-11-06T11:59:59.999000-03:00,long,3348.752164472728,3.3152646428280006,-0.020990000000000068,-70.29030793228279,live
2025-11-08T01:59:59.999000-03:00,short,3480.720186958301,3.4384005759271568,0.023328741503154324,81.20082148636119,live
2025-11-08T12:59:59.999000-03:00,long,3396.0809648960126,3.461584902503304,0.037556905041569104,127.54629031207993,live
2025-11-09T15:59:59.999000-03:00,short,3527.088840110596,3.5623597285117024,-0.021010000000000053,-74.1041365307238,live
2025-11-11T10:59:59.999000-03:00,long,3525.9669776252454,3.490707307848993,-0.020989999999999967,-74.01004686035378,live
2025-11-13T04:59:59.999000-03:00,short,3564.6364524112246,3.40422781205272,0.08904499999999992,317.41305290495717,live
